sample_type_source,count
CHMO,4022
MTBLS,313
MSIO,160
NCIT,88
NCBITAXON,10
BAO,9
EFO,8
ARO,4
MS,3
PRIDE,3
BTO,2
UBERON,2
RESULTAFR,1
ROLEAFRL,1
HTTP://PURL.OBOLIBRARY.ORG/OBO/MSIO_0000026,1
HTTP://WWW.EBI.AC.UK/METABOLIGHTS/ONTOLOGY/MTBLS_000218,1
