organism_source,count
NCBITAXON,6282
BAO,199
MTBLS,64
ENVO,55
MSIO,49
WORMS,36
NCIT,35
CHEBI,7
EFO,7
OBI,7
PCO,6
OMIT,5
MESH,4
MS,4
CL,3
CHMO,2
BTO,2
EDAM,1
RH-MESH,1
ERO,1
MICRO,1
BAOBAO,1
OBOE-SBC,1
PRIDE,1
MUS MUSCULUS,1
