organism_part_source,count
BTO,4513
NCIT,682
MTBLS,510
CHEBI,374
EFO,188
UBERON,58
OMIT,48
PO,43
BAO,32
MEO,32
CHMO,16
ENVO,14
CLO,13
NCBITAXON,13
IOBC,11
MSIO,11
GO,9
FOODON,6
MESH,4
PORO,4
CL,3
MI,3
MS,2
ZFA,2
XCO,2
PECO,1
MEDDRA,1
ZP,1
CO_366,1
CCONT,1
FLOPO,1
MCO,1
GO-EXT,1
MICRO,1
SMALL CELL LUNG CANCER CELL LINE,1
